district,neighborhood,room,living room,area (m2),age,floor,price,neighbourhoodScore
 Sisli , 19 Mayis,3,1,140,22,4,600,
 Uskudar , Kuzguncuk,5,1,700,26,0,3600,A
 Bagcilar , Mahmutbey,2,1,114,4,10,380,E
 Kucukcekmece , Inonu,3,1,120,30,4,220,E
 Umraniye , Camlik,1,1,55,20,6,220,E
 Beyoglu , Kulaksiz,2,1,70,10,2,200,E
 Basaksehir , Bahcesehir 1. Kisim,3,1,160,11,0,500,B+
 Sisli , Cumhuriyet,1,1,92,5,21,565,D
 Bahcelievler , Sirinevler,2,1,90,38,1,180,B
 Atasehir , Kucukbakkalkoy,1,0,45,10,18,280,A
 Besiktas , Kultur,3,1,310,36,4,2200,A+
 Bahcelievler , Bahcelievler,3,1,120,4,1,600,C+
 Esenyurt , Asik Veysel,1,1,78,14,12,165,C
 Beylikduzu , Kavakli,2,1,80,27,1,150,E
 Sisli , Merkez,5,1,170,2,2,650,D
 Sisli , Bozkurt,2,1,85,40,3,270,B+
 Besiktas , Nisbetiye,2,1,90,53,8,500,A+
 Pendik , Esenyali,2,1,100,15,2,150,C+
 Sariyer , Ferahevler,3,1,148,35,3,650,C
 Kadikoy , Merdivenkoy,2,1,75,0,2,450,A
 Fatih , Haseki Sultan,3,2,130,30,1,280,C+
 Kagithane , Telsizler,1,1,80,28,3,160,C+
 Sariyer , Ptt Evleri,2,1,125,26,1,250,D
 Kadikoy , Zuhtupasa,3,1,150,4,3,950,A+
 Kucukcekmece , Cennet,5,1,185,24,5,400,B
 Sisli , Fulya,2,1,80,5,4,325,A
 Kadikoy , Osmanaga,1,1,65,30,4,275,A
 Bahcelievler , Kocasinan Merkez,3,1,200,14,4,260,C
 Sisli , Fulya,2,1,135,11,3,1050,A
 Kagithane , Seyrantepe,1,1,60,5,-1,200,C+
 Sariyer , Ferahevler,2,1,100,18,3,500,C
 Kagithane , Hurriyet,2,10,95,45,-1,175,E
 Umraniye , Cakmak,1,1,51,4,21,350,E
 Sisli , 19 Mayis,3,1,130,35,6,350,
 Maltepe , Altintepe,3,1,140,21,0,240,A
 Cekmekoy , Mimar Sinan,3,1,125,19,2,375,E
 Besiktas , Ulus,2,1,75,15,0,280,C+
 Kucukcekmece , Cumhuriyet,2,1,125,0,10,350,D
 Fatih , Sehremini,3,1,115,37,3,200,C
 Kucukcekmece , Yeni Mahalle,3,1,110,6,2,250,D
 Besiktas , Ortakoy,2,1,70,40,2,350,C+
 Maltepe , Kucukyali,4,1,160,30,1,500,
 Besiktas , Arnavutkoy,2,1,85,30,0,430,B+
 Esenyurt , Saadetdere,2,1,110,3,1,205,D
 Besiktas , Ulus,2,1,160,30,1,870,C+
 Gungoren , Gencosman,2,1,100,3,1,270,E
 Kucukcekmece , Sultan Murat,1,1,60,25,1,150,D
 Beylikduzu , Gurpinar,3,1,110,0,5,240,D
 Kadikoy , Osmanaga,2,0,90,0,1,500,A
 Besiktas , Dikilitas,3,1,120,27,-1,240,A
 Esenyurt , Barbaros Hayrettin Pasa,1,1,75,0,8,125,E
 Beykoz , Acarlar,5,1,450,16,0,2500,A+
 Bakirkoy , Kartaltepe,3,1,120,45,3,280,D
 Sisli , Ferikoy,2,1,75,20,0,230,B
 Kagithane , Seyrantepe,1,1,65,11,4,280,C+
 Besiktas , Etiler,3,1,210,25,5,2400,A+
 Gaziosmanpasa , Sarigol,2,1,196,20,5,160,D
 Beyoglu , Emekyemez,1,1,90,40,1,600,C
 Esenyurt , Mehmet Akif Ersoy,2,1,100,4,2,150,E
 Arnavutkoy , Tayakadin,2,1,90,10,2,450,E
 Uskudar , Cengelkoy,4,1,240,15,4,750,B
 Sisli , Fulya,2,1,90,45,2,300,A
 Maltepe , Aydinevler,2,1,105,3,4,300,B+
 Sisli , Mecidiyekoy,1,1,50,6,0,160,B+
 Kadikoy , Merdivenkoy,3,1,115,31,1,330,A
 Sisli , Mecidiyekoy,2,1,65,8,-1,200,B+
 Esenyurt , Guzelyurt,1,1,75,10,5,125,E
 Uskudar , Zeynep Kamil,2,1,90,26,1,240,C+
 Bakirkoy , Zuhuratbaba,2,1,75,50,1,200,A+
 Kucukcekmece , Cennet,3,1,145,25,-1,175,B
 Kadikoy , Caferaga,3,1,145,33,2,520,A+
 Sisli , Halide Edip Adivar,2,1,110,28,3,200,C
 Kadikoy , Hasanpasa,2,1,80,8,1,350,E
 Bahcelievler , Yenibosna Merkez,2,1,115,10,4,475,C+
 Kucukcekmece , Atakent,4,1,182,13,4,650,C+
 Beylikduzu , Dereagzi,2,1,100,7,2,230,C
 Bakirkoy , Kartaltepe,2,1,85,40,1,180,D
 Atasehir , Icerenkoy,1,1,80,20,1,190,B+
 Kagithane , Harmantepe,2,1,80,6,8,300,E
 Sultanbeyli , Adil,2,1,94,1,2,330,E
 Sisli , Mesrutiyet,1,1,70,9,1,34999,B+
 Atasehir , Esatpasa,2,1,90,10,2,320,E
 Sariyer , Kirecburnu,1,1,110,30,1,450,C+
 Atasehir , Icerenkoy,3,1,135,30,5,450,B+
 Kagithane , Harmantepe,1,1,65,8,1,185,E
 Sariyer , Maslak,1,1,85,10,10,600,B+
 Eyupsultan , Guzeltepe,2,1,85,8,1,255,B
 Besiktas , Akat,3,1,220,50,6,900,A+
 Cekmekoy , Nisantepe,1,1,55,0,4,180,B
 Beykoz , Kavacik,3,1,120,20,1,280,B+
 Besiktas , Abbasaga,4,1,215,5,5,785,B+
 Esenyurt , Incirtepe,2,1,95,4,0,100,C
 Sariyer , Maslak,3,1,170,7,1,675,B+
 Uskudar , Salacak,3,1,120,26,1,550,A
 Avcilar , Merkez,3,1,160,12,3,320,D
 Sariyer , Istinye,3,1,148,27,4,450,B
 Sisli , Esentepe,2,1,95,0,4,600,D
 Kadikoy , Caferaga,1,1,50,0,4,330,A+
 Kadikoy , Fikirtepe,2,1,108,2,2,580,B+
 Sariyer , Ayazaga,2,1,90,18,7,250,C
 Bayrampasa , Terazidere,2,1,70,6,1,200,D
 Uskudar , Aziz Mahmut Hudayi,2,1,75,0,1,320,A
 Maltepe , Kucukyali,3,2,190,0,5,950,
 Besiktas , Gayrettepe,2,1,65,45,0,320,A+
 Kucukcekmece , Cumhuriyet,2,1,90,4,1,250,D
 Beylikduzu , Kavakli,3,1,160,2,11,430,E
 Bahcelievler , Hurriyet,2,1,85,32,2,145,E
 Eyupsultan , Emniyettepe,2,1,75,8,2,270,D
 Eyupsultan , Aksemsettin,2,1,100,3,0,330,E
 Fatih , Silivrikapi,1,1,65,40,1,160,D
 Basaksehir , Bahcesehir 2. Kisim,5,1,434,10,5,825,B+
 Kadikoy , 19 Mayis,4,1,280,12,13,950,
 Uskudar , Kandilli,4,1,240,25,0,1300,A
 Zeytinburnu , Cirpici,2,1,95,28,5,180,E
 Zeytinburnu , Kazlicesme,3,1,160,4,13,1100,C+
 Sisli , Esentepe,2,1,176,21,18,1000,D
 Sancaktepe , Fatih,2,2,87,3,1,140,E
 Umraniye , Camlik,3,1,140,14,7,290,E
 Beyoglu , Yenisehir,2,1,65,35,-1,120,E
 Kagithane , Caglayan,1,1,70,5,5,350,C+
 Beylikduzu , Gurpinar,4,2,150,1,4,360,D
 Basaksehir , Kayabasi,1,1,83,12,4,190,C+
 Eyupsultan , Mimar Sinan,2,1,128,1,0,800,E
 Kartal , Yukari,3,1,119,40,2,231,B
 Uskudar , Bulgurlu,1,1,65,25,5,180,B+
 Buyukcekmece , Ataturk,3,1,130,26,1,120,E
 Kagithane , Hamidiye,4,1,220,2,6,1600,E
 Kagithane , Caglayan,2,1,90,3,1,200,C+
 Beylikduzu , Adnan Kahveci,3,1,155,7,2,350,B+
 Bahcelievler , Bahcelievler,1,1,77,3,12,375,C+
 Sisli , Kustepe,1,1,55,11,-2,170,E
 Kartal , Yakacik Yeni,2,1,85,7,9,290,C
 Bakirkoy , Yesilkoy,3,1,160,5,1,1000,A+
 Bayrampasa , Kartaltepe,1,1,75,35,1,150,D
 Kadikoy , Merdivenkoy,2,1,85,40,6,320,A
 Cekmekoy , Merkez,1,1,110,11,2,460,D
 Kucukcekmece , Atakent,1,1,50,11,9,290,C+
 Gungoren , Maresal Cakmak,2,1,90,32,2,225,D
 Sisli , Merkez,1,1,90,3,2,7000,D
 Avcilar , Universite,3,1,120,30,3,200,B
 Buyukcekmece , Ataturk,2,1,70,30,0,125,E
 Uskudar , Aziz Mahmut Hudayi,2,1,110,13,2,330,A
 Gaziosmanpasa , Fevzi Cakmak,1,1,70,7,7,320,E
 Kadikoy , Sahrayi Cedit,2,1,70,31,4,370,A
 Pendik , Yenisehir,3,1,120,22,2,300,E
 Besiktas , Nisbetiye,2,1,130,35,5,650,A+
 Avcilar , Ambarli,3,2,180,10,0,250,C+
 Sisli , Gulbahar,2,1,80,20,5,190,B+
 Sisli , Gulbahar,3,1,115,20,4,230,B+
 Sariyer , Pinar,5,1,330,10,5,2900,E
 Sisli , Mecidiyekoy,2,1,110,24,2,290,B+
 Fatih , Seyyid Omer,1,1,65,10,1,200,D
 Gaziosmanpasa , Karayollari,2,1,150,20,5,120,E
 Beyoglu , Cihangir,2,1,100,30,2,400,B
 Sisli , Merkez,2,2,63,10,0,450,D
 Besiktas , Etiler,2,1,210,16,5,2400,A+
 Kucukcekmece , Yesilova,2,1,90,25,5,180,C
 Bahcelievler , Bahcelievler,4,1,200,15,0,570,C+
 Atasehir , Icerenkoy,2,1,100,30,11,235,B+
 Besiktas , Visnezade,1,1,145,5,2,1150,A+
 Esenyurt , Gokevler,2,1,100,10,1,220,D
 Uskudar , Murat Reis,2,1,90,45,3,250,B+
 Sisli , Gulbahar,2,1,100,15,2,250,B+
 Bayrampasa , Ismet Pasa,1,1,75,5,4,300,D
 Eyupsultan , Guzeltepe,2,1,95,0,6,320,B
 Kadikoy , Feneryolu,3,1,140,30,5,450,A+
 Kagithane , Yahya Kemal,1,1,65,30,0,210,E
 Beyoglu , Omer Avni,3,1,90,38,3,500,A
 Sisli , Merkez,3,1,140,45,1,450,D
 Bayrampasa , Orta,2,1,80,18,1,300,E
 Kagithane , Ortabayir,2,1,85,40,3,170,C+
 Besiktas , Yildiz,1,1,140,25,2,350,A
 Kagithane , Ortabayir,2,1,85,15,2,250,C+
 Beykoz , Ruzgarlibahce,2,1,90,25,2,255,E
 Bahcelievler , Soganli,2,1,140,27,6,140,B
 Buyukcekmece , Yenimahalle,1,1,70,30,3,250,E
 Sisli , Cumhuriyet,2,1,100,17,3,380,D
 Besiktas , Nisbetiye,4,1,220,0,4,1900,A+
 Sisli , Halide Edip Adivar,2,1,75,8,1,230,C
 Umraniye , Madenler,1,1,100,16,21,300,B
 Beylikduzu , Kavakli,5,2,225,0,4,350,E
 Cekmekoy , Gungoren,2,1,85,4,2,230,B
 Eyupsultan , Islambey,3,1,120,16,2,250,E
 Sisli , Halide Edip Adivar,2,1,75,35,2,195,C
 Fatih , Sehremini,3,1,105,45,4,200,C
 Sisli , Merkez,2,1,110,5,2,425,D
 Fatih , Hirka-i Serif,2,1,75,35,0,150,D
 Beylikduzu , Cumhuriyet,2,1,150,8,5,250,D
 Sariyer , Cumhuriyet,3,1,140,30,2,250,D
 Besiktas , Abbasaga,2,1,99,12,3,900,B+
 Basaksehir , Bahcesehir 1. Kisim,4,1,190,14,0,650,B+
 Maltepe , Altintepe,1,1,67,32,4,255,A
 Kucukcekmece , Gultepe,2,1,85,11,2,240,E
 Beylikduzu , Dereagzi,2,1,110,8,0,200,C
 Buyukcekmece , Ataturk,2,1,80,29,4,120,E
 Fatih , Seyyid Omer,2,1,85,38,1,220,D
 Besiktas , Etiler,3,1,145,45,5,450,A+
 Beykoz , Cubuklu,3,1,100,30,0,200,D
 Sisli , Mecidiyekoy,2,1,75,15,5,155,B+
 Sariyer , Cayirbasi,3,1,140,16,4,520,C+
 Maltepe , Zumrutevler,3,1,115,25,1,200,B
 Fatih , Sehremini,3,1,120,40,3,220,C
 Kucukcekmece , Gultepe,2,1,100,26,3,200,E
 Beyoglu , Kamer Hatun,1,0,45,10,2,180,C
 Beyoglu , Bulbul,1,1,65,25,2,250,E
 Atasehir , Kucukbakkalkoy,1,0,40,4,5,240,A
 Sancaktepe , Abdurrahmangazi,2,1,95,8,3,250,E
 Besiktas , Yildiz,3,1,135,5,1,500,A
 Atasehir , Kayisdagi,1,1,65,5,5,240,B
 Sariyer , Maslak,4,1,230,8,15,1250,B+
 Basaksehir , Bahcesehir 1. Kisim,3,1,175,11,0,800,B+
 Maltepe , Cevizli,3,1,115,10,2,350,C+
 Bakirkoy , Kartaltepe,1,1,80,38,0,165,D
 Sisli , Tesvikiye,2,1,80,50,1,300,A
 Fatih , Molla Gurani,2,1,85,30,1,230,B
 Besiktas , Turkali,2,1,89,39,2,300,A
 Sisli , Merkez,1,2,90,25,1,330,D
 Beyoglu , Halicioglu,3,1,115,30,0,150,D
 Besiktas , Nisbetiye,2,1,80,60,2,450,A+
 Sariyer , Huzur,2,1,174,5,9,650,E
 Sisli , Halide Edip Adivar,3,1,110,26,2,260,C
 Besiktas , Visnezade,2,1,75,35,2,330,A+
 Bahcelievler , Siyavuspasa,3,1,115,38,5,150,C+
 Umraniye , Necip Fazil,3,1,140,16,7,330,E
 Esenyurt , Yesilkent,1,1,68,6,16,120,E
 Atasehir , Barbaros,2,1,135,35,3,250,D
 Silivri , Yeni,1,1,65,4,2,230,B
 Eyupsultan , Gokturk Merkez,3,1,165,10,1,600,B+
 Besiktas , Arnavutkoy,1,1,63,40,-1,260,B+
 Bakirkoy , Yesilkoy,2,1,100,7,2,600,A+
 Silivri , Gumusyaka,2,1,100,25,2,165,E
 Zeytinburnu , Bestelsiz,2,1,85,28,5,150,C+
 Sariyer , Ferahevler,2,1,150,25,3,500,C
 Bahcelievler , Bahcelievler,3,1,118,33,4,230,C+
 Kagithane , Seyrantepe,1,0,45,13,4,200,C+
 Esenyurt , Piri Reis,2,1,75,9,9,150,C
 Kadikoy , Suadiye,3,1,130,3,4,1100,A+
 Beyoglu , Omer Avni,3,1,90,38,3,500,A
 Sancaktepe , Abdurrahmangazi,2,1,90,0,7,225,E
 Sultangazi , 75. Yil,2,1,100,5,3,210,E
 Esenyurt , Aksemseddin,2,1,105,11,9,200,D
 Kagithane , Ortabayir,3,1,130,5,0,230,C+
 Sariyer , Huzur,3,1,168,2,2,900,E
 Sariyer , Maslak,4,1,240,8,14,1300,B+
 Tuzla , Yayla,2,1,100,20,2,185,D
 Bayrampasa , Terazidere,2,1,95,12,4,225,D
 Fatih , Haseki Sultan,3,1,130,45,3,230,C+
 Sariyer , Ayazaga,2,1,120,10,2,750,C
 Zeytinburnu , Kazlicesme,3,1,170,5,6,1850,C+
 Avcilar , Ambarli,3,1,110,26,2,150,C+
 Fatih , Silivrikapi,1,1,70,45,2,150,D
 Beylikduzu , Adnan Kahveci,2,1,140,3,2,200,B+
 Basaksehir , Kayabasi,2,1,85,11,4,220,C+
 Kadikoy , Caferaga,3,1,140,35,4,600,A+
 Besiktas , Gayrettepe,2,1,80,0,-1,425,A+
 Sisli , Mecidiyekoy,3,1,260,7,8,550,B+
 Uskudar , Zeynep Kamil,2,1,91,35,2,200,C+
 Bahcelievler , Cumhuriyet,2,1,85,25,5,150,D
 Kucukcekmece , Inonu,3,1,130,20,2,500,E
 Kadikoy , Caddebostan,3,1,155,34,0,1100,A+
 Eyupsultan , Gokturk Merkez,1,0,50,0,2,330,B+
 Kucukcekmece , Cennet,2,1,100,31,3,200,B
 Kagithane , Caglayan,1,1,50,15,3,215,C+
 Besiktas , Visnezade,2,1,70,40,1,250,A+
 Beyoglu , Cihangir,2,1,95,30,1,400,B
 Beyoglu , Fetihtepe,2,1,90,50,4,200,D
 Besiktas , Nisbetiye,4,1,200,32,5,800,A+
 Beyoglu , Purtelas Hasan Efendi,3,1,110,1,0,550,A
 Esenyurt , Turgut Ozal,2,1,90,11,0,105,D
 Umraniye , Atakent,3,1,110,35,1,265,C+
 Eyupsultan , Mimar Sinan,3,1,219,1,2,1350,E
 Esenyurt , Gokevler,3,1,140,10,8,250,D
 Uskudar , Cengelkoy,3,1,125,1,4,570,B
 Sisli , Mecidiyekoy,1,1,90,25,2,190,B+
 Uskudar , Cumhuriyet,1,1,60,27,5,125,D
 Esenyurt , Yesilkent,2,1,101,11,5,170,E
 Kucukcekmece , Yesilova,3,1,135,30,2,170,C
 Maltepe , Cevizli,3,1,110,26,1,260,C+
 Sisli , Esentepe,2,1,80,20,1,310,D
 Uskudar , Aziz Mahmut Hudayi,2,1,75,0,1,370,A
 Beyoglu , Haciahmet,2,1,80,40,-1,180,C
 Beyoglu , Piri Pasa,2,1,85,0,3,365,E
 Pendik , Cinardere,3,1,108,22,1,250,B
 Besiktas , Muradiye,3,1,120,35,5,500,A
 Sisli , Yayla,3,1,186,13,6,750,D
 Esenyurt , Selahaddin Eyyubi,2,1,75,15,0,85,D
 Beykoz , Acarlar,2,1,137,3,2,1100,A+
 Sisli , Yayla,2,1,85,25,4,225,D
 Sisli , Cumhuriyet,1,1,76,4,3,500,D
 Bayrampasa , Altintepsi,2,1,80,30,3,150,C
 Uskudar , Sultantepe,2,1,105,38,2,200,A
 Sisli , Mecidiyekoy,1,1,100,5,3,1000,B+
 Atasehir , Icerenkoy,3,1,120,25,4,310,B+
 Bahcelievler , Siyavuspasa,2,1,90,30,2,200,C+
 Beykoz , Acarlar,5,3,1700,11,0,3850,A+
 Besiktas , Ortakoy,5,2,500,32,0,1400,C+
 Sisli , Merkez,2,1,90,6,-1,320,D
 Silivri , Mimar Sinan,2,1,95,2,1,155,E
 Basaksehir , Kayabasi,2,1,70,8,4,200,C+
 Bakirkoy , Osmaniye,2,1,70,40,1,200,B+
 Fatih , Seyyid Omer,1,1,67,36,1,140,D
 Buyukcekmece , Guzelce,2,1,120,20,1,200,B+
 Sisli , Pasa,2,1,95,35,0,250,C
 Eyupsultan , Nisanci,4,1,130,5,4,250,C+
 Pendik , Fevzi Cakmak,4,1,120,35,4,240,E
 Basaksehir , Bahcesehir 2. Kisim,3,1,156,25,5,300,B+
 Atasehir , Icerenkoy,1,1,70,10,0,195,B+
 Pendik , Suluntepe,2,1,95,16,0,170,E
 Sisli , Merkez,2,1,100,0,2,500,D
 Kagithane , Yesilce,1,1,70,10,2,230,C+
 Esenyurt , Koza,1,1,60,2,5,190,B+
 Bakirkoy , Kartaltepe,2,1,85,45,1,225,D
 Bahcelievler , Soganli,2,1,75,15,3,200,B
 Sisli , Fulya,3,1,130,30,2,350,A
 Beylikduzu , Kavakli,4,2,240,9,3,350,E
 Beylikduzu , Dereagzi,3,1,100,15,5,150,C
 Adalar , Nizam,4,1,280,31,2,650,B+
 Beyoglu , Kamer Hatun,2,1,125,70,4,400,C
 Uskudar , Cumhuriyet,1,1,65,15,5,170,D
 Beylikduzu , Kavakli,2,1,90,7,-1,200,E
 Beyoglu , Ornektepe,2,1,75,27,-2,240,E
 Uskudar , Icadiye,2,1,80,35,2,250,B+
 Kagithane , Gursel,2,1,80,10,-1,220,B
 Bagcilar , Merkez,3,1,130,40,3,260,D
 Sisli , Inonu,1,1,50,35,1,170,E
 Bahcelievler , Siyavuspasa,1,1,50,4,-1,170,C+
 Beyoglu , Tomtom,2,1,60,100,3,450,B+
 Bahcelievler , Bahcelievler,2,1,90,0,3,400,C+
 Pendik , Guzelyali,3,1,115,15,2,275,C+
 Avcilar , Gumuspala,3,1,132,30,6,200,C
 Fatih , Seyyid Omer,2,1,100,40,2,220,D
 Kagithane , Celiktepe,1,1,60,2,14,350,C
 Gungoren , Merkez,2,1,115,30,2,195,D
 Beyoglu , Cihangir,2,1,90,60,1,350,B
 Kadikoy , Caddebostan,3,1,148,32,8,690,A+
 Sisli , Mecidiyekoy,2,1,80,26,2,280,B+
 Kucukcekmece , Kemalpasa,3,1,120,25,4,200,D
 Sariyer , Maslak,3,1,200,8,4,900,B+
 Kucukcekmece , Cennet,3,1,130,31,2,225,B
 Sisli , Gulbahar,1,1,75,5,3,285,B+
 Uskudar , Bulgurlu,2,1,100,12,0,190,B+
 Uskudar , Murat Reis,2,1,80,40,4,200,B+
 Beyoglu , Kamer Hatun,1,1,55,30,1,130,C
 Besiktas , Ortakoy,2,1,100,35,4,370,C+
 Fatih , Molla Gurani,2,1,138,50,3,280,B
 Kucukcekmece , Fevzi Cakmak,1,1,60,28,4,125,E
 Beylikduzu , Gurpinar,2,1,110,5,2,230,D
 Kagithane , Hamidiye,3,1,130,28,3,210,E
 Bahcelievler , Soganli,2,1,120,30,6,140,B
 Kagithane , Sultan Selim,2,1,90,8,4,240,D
 Maltepe , Findikli,2,1,90,11,1,210,C+
 Esenler , Fevzi Cakmak,3,1,118,30,4,170,E
 Bahcelievler , Soganli,3,0,120,29,1,220,B
 Besiktas , Turkali,2,1,100,31,4,260,A
 Zeytinburnu , Gokalp,2,1,95,26,2,190,E
 Kagithane , Gultepe,2,1,105,20,7,250,E
 Kagithane , Telsizler,2,1,85,30,4,180,C+
 Uskudar , Unalan,2,1,80,10,2,320,C
 Kagithane , Emniyet Evleri,2,1,90,29,2,255,B
 Sariyer , Sariyer Merkez,2,1,135,40,-3,850,B+
 Gaziosmanpasa , Karlitepe,2,1,90,30,0,200,C
 Atasehir , Barbaros,2,1,140,11,13,750,D
 Sisli , Ferikoy,2,1,80,30,3,190,B
 Beyoglu , Kocatepe,1,0,45,35,1,60,E
 Sisli , Mecidiyekoy,2,1,55,7,1,250,B+
 Atasehir , Icerenkoy,1,1,70,12,0,200,B+
 Sariyer , Cumhuriyet,2,1,135,28,2,235,D
 Bahcelievler , Sirinevler,2,1,90,39,1,200,B
 Sariyer , Zekeriyakoy,2,1,145,12,5,720,A
 Sisli , Merkez,2,1,80,40,2,400,D
 Esenyurt , Necip Fazil Kisakurek,2,1,105,12,1,170,D
 Eyupsultan , Circir,2,1,95,10,4,255,C
 Beyoglu , Purtelas Hasan Efendi,1,1,55,50,0,300,A
 Sariyer , Istinye,3,1,118,25,3,430,B
 Kucukcekmece , Halkali Merkez,4,1,180,10,4,350,C
 Fatih , Cerrahpasa,2,1,80,38,-1,150,C
 Sisli , Inonu,1,1,75,35,2,250,E
 Sisli , Mesrutiyet,1,1,85,7,2,34999,B+
 Besiktas , Nisbetiye,4,1,220,35,7,800,A+
 Umraniye , Parseller,2,1,95,14,1,220,D
 Pendik , Kaynarca,3,1,137,8,2,510,C
 Kagithane , Ortabayir,2,1,90,30,2,250,C+
 Besiktas , Nisbetiye,5,1,355,2,21,4000,A+
 Kucukcekmece , Gultepe,3,1,120,9,3,310,E
 Avcilar , Cihangir,3,1,115,12,2,225,B
 Kagithane , Seyrantepe,1,1,70,5,0,182,C+
 Zeytinburnu , Veliefendi,1,1,75,26,5,150,D
 Bahcelievler , Siyavuspasa,3,1,115,38,4,150,C+
 Besiktas , Arnavutkoy,2,1,130,35,2,700,B+
 Esenyurt , Mevlana,2,1,95,2,4,180,E
 Kagithane , Seyrantepe,2,1,100,30,5,210,C+
 Besiktas , Dikilitas,3,1,135,24,3,520,A
 Kadikoy , Bostanci,4,1,180,16,12,950,A
 Bahcelievler , Siyavuspasa,3,1,135,8,3,420,C+
 Kucukcekmece , Fevzi Cakmak,2,1,100,0,1,255,E
 Sariyer , Maslak,4,1,255,15,21,1190,B+
 Beyoglu , Halicioglu,2,1,100,29,4,260,D
 Sariyer , Huzur,3,1,165,2,2,900,E
 Sisli , Gulbahar,2,1,95,30,5,260,B+
 Tuzla , Istasyon,3,1,130,25,1,250,B+
 Bayrampasa , Altintepsi,2,1,75,25,3,150,C
 Beylikduzu , Adnan Kahveci,3,1,185,3,3,250,B+
 Kartal , Gumuspinar,3,1,110,35,14,195,C+
 Maltepe , Feyzullah,3,2,240,28,3,750,A
 Fatih , Silivrikapi,2,1,70,40,1,140,D
 Kadikoy , Feneryolu,3,1,140,35,7,350,A+
 Fatih , Haseki Sultan,2,1,85,35,4,200,C+
 Fatih , Sehremini,2,1,110,35,2,280,C
 Kagithane , Hamidiye,1,0,45,3,4,320,E
 Fatih , Ali Kuscu,1,1,70,35,2,150,D
 Sariyer , Zekeriyakoy,1,1,60,7,2,400,A
 Arnavutkoy , Bogazkoy Istiklal,2,1,100,6,3,160,E
 Beykoz , Kavacik,3,1,120,20,6,400,B+
 Kucukcekmece , Atakent,3,1,130,20,3,550,C+
 Beylikduzu , Baris,3,1,160,20,4,300,B+
 Kagithane , Celiktepe,2,1,75,4,2,350,C
 Sariyer , Darussafaka,5,1,180,26,4,670,B+
